Site,date,mean_daily
SWQM-16397,2020-03-04,1.7986256664828237
SWQM-16397,2020-03-05,2.4964591904237663
SWQM-16397,2020-03-06,1.9274236957326705
SWQM-16397,2020-03-07,1.7637859765624027
SWQM-16397,2020-03-08,1.6879544936047104
SWQM-16397,2020-03-09,1.66932903429583
SWQM-16397,2020-03-10,1.6677566749536783
SWQM-16397,2020-03-11,1.7296226994344237
SWQM-16397,2020-03-12,1.7131553586168575
SWQM-16397,2020-03-13,1.6834583323911303
SWQM-16397,2020-03-14,1.6872333394545687
SWQM-16397,2020-03-15,1.7257441684883237
SWQM-16397,2020-03-16,1.7366788023647113
SWQM-16397,2020-03-17,1.7295209919572325
SWQM-16397,2020-03-18,1.7315216781535272
SWQM-16397,2020-03-19,1.7397705549304896
SWQM-16397,2020-03-20,1.8938305596144311
SWQM-16397,2020-03-21,2.600298933719278
SWQM-16397,2020-03-22,10.83638977255099
SWQM-16397,2020-03-23,2.9662342356945794
SWQM-16397,2020-03-24,2.2074509890483474
SWQM-16397,2020-03-25,1.9247952113686468
SWQM-16397,2020-03-26,1.8852176288502795
SWQM-16397,2020-03-27,1.8155997104662451
SWQM-16397,2020-03-28,1.748355070685471
SWQM-16397,2020-03-29,1.7069175788139488
SWQM-16397,2020-03-30,1.682780252182209
SWQM-16397,2020-03-31,1.6992377079709096
SWQM-16397,2020-04-01,1.6828476146148392
SWQM-16397,2020-04-02,1.7208054733523435
SWQM-16397,2020-04-03,2.508620054135982
SWQM-16397,2020-04-04,9.987044536707991
SWQM-16397,2020-04-05,3.284120535378398
SWQM-16397,2020-04-06,2.3489871265350875
SWQM-16397,2020-04-07,2.0734008141260647
SWQM-16397,2020-04-08,1.9789420797680013
SWQM-16397,2020-04-09,2.6160430519027567
SWQM-16397,2020-04-10,6.614048860666302
SWQM-16397,2020-04-11,2.2830439149687436
SWQM-16397,2020-04-12,1.8894287991318228
SWQM-16397,2020-04-13,1.806644795842925
SWQM-16397,2020-04-14,1.8299752397265736
SWQM-16397,2020-04-15,1.8194125419343488
SWQM-16397,2020-04-16,1.7427506630219625
SWQM-16397,2020-04-17,1.7368263619833562
SWQM-16397,2020-04-18,1.7671605033058768
SWQM-16397,2020-04-19,1.7408128821309123
SWQM-16397,2020-04-20,1.7066722461285018
SWQM-16397,2020-04-21,1.736817238921717
SWQM-16397,2020-04-22,3.19416341663769
SWQM-16397,2020-04-23,9.518993827929505
SWQM-16397,2020-04-24,2.3425951006132695
SWQM-16397,2020-04-25,2.0085601441976486
SWQM-16397,2020-04-26,1.9316125249936877
SWQM-16397,2020-04-27,1.894124885077524
SWQM-16397,2020-04-28,1.8895251292446233
SWQM-16397,2020-04-29,2.173334152782815
SWQM-16397,2020-04-30,2.077952753676333
SWQM-16397,2020-05-01,1.9259714820270202
SWQM-16397,2020-05-02,1.8843665712292974
SWQM-16397,2020-05-03,1.730677977930632
SWQM-16397,2020-05-04,1.6401331665605412
SWQM-16397,2020-05-05,1.7057061221886596
SWQM-16397,2020-05-06,1.927600310800197
SWQM-16397,2020-05-07,1.957016561324603
SWQM-16397,2020-05-08,1.9471447035952305
SWQM-16397,2020-05-09,1.9709446323658342
SWQM-16397,2020-05-10,1.9938750581680327
SWQM-16397,2020-05-11,1.9653031886256163
SWQM-16397,2020-05-12,3.805256191992966
SWQM-16397,2020-05-13,5.9949290335888525
SWQM-16397,2020-05-14,2.055058114127111
SWQM-16397,2020-05-15,1.8282396459761905
SWQM-16397,2020-05-16,2.7866859852004224
SWQM-16397,2020-05-17,2.2413386491164635
SWQM-16397,2020-05-18,1.8341599180161716
SWQM-16397,2020-05-19,1.7144335270387647
SWQM-16397,2020-05-20,1.6844473242102906
SWQM-16397,2020-05-21,1.6674035075817286
SWQM-16397,2020-05-22,1.636186742657408
SWQM-16397,2020-05-23,1.5983311893292973
SWQM-16397,2020-05-24,1.5766066228175262
SWQM-16397,2020-05-25,2.0639014130631255
SWQM-16397,2020-05-26,1.8722092336354546
SWQM-16397,2020-05-27,9.514036450799109
SWQM-16397,2020-05-28,39.804884625606185
SWQM-16397,2020-05-29,2.8223823600338473
SWQM-16397,2020-05-30,1.9560169469834867
SWQM-16397,2020-05-31,1.7950383622142798
SWQM-16397,2020-06-01,1.7325393902583914
SWQM-16397,2020-06-02,1.6991441461701224
SWQM-16397,2020-06-03,1.7573604509397036
SWQM-16397,2020-06-04,1.7349038847461002
SWQM-16397,2020-06-05,1.6990835428773379
